repeat,step,material_system,composition,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_material_loss_umol,actual_material_loss_umol,hypervolume,best_objective
3,47,In-Mn-Pd-O,"{""In"": 0.06314132356524435, ""Mn"": 0.1347090477130088, ""Pd"": 0.8021496287217468}",550,0.564984,0.509622,0.072202,0.031273,3.343016,
3,48,In-Mn-Pd-O,"{""In"": 0.06189116978794804, ""Mn"": 0.0987940365867387, ""Pd"": 0.8393147936253132}",550,0.545616,0.528069,0.061552,0.068041,3.343016,
3,49,Co-Mo-Pd-O,"{""Co"": 0.2606435187588692, ""Mo"": 0.15148472520717451, ""Pd"": 0.5878717560339562}",550,0.640711,0.686679,0.125298,0.087077,3.343016,
3,50,Al-Cu-Mo-O,"{'Al': 0.0428, 'Cu': 0.03029, 'Mo': 0.92691}",550,0.968951,0.933527,0.081995,0.181121,3.343016,
4,1,Co-Mn-Nb-O,"{""Co"": 0.47354753643369135, ""Mn"": 0.29874012749559603, ""Nb"": 0.22771233607071256}",400,0.803566,0.811903,0.214704,0.098778,1.74329,
4,2,Mn-Nb-Zn-O,"{'Mn': 0.12448971923321082, 'Nb': 0.720808299209908, 'Zn': 0.1547019815568811}",550,0.934166,0.949239,0.017411,0.006595,1.74329,
4,3,Co-Mo-Pd-O,"{""Co"": 0.10376979236107119, ""Mo"": 0.08462846934591049, ""Pd"": 0.8116017382930183}",550,0.799528,0.649778,0.187724,0.040015,2.191646,
4,4,Co-Mo-Pd-O,"{""Co"": 0.27725537865851374, ""Mo"": 0.21107325182634606, ""Pd"": 0.5116713695151401}",550,0.799869,0.640417,0.124798,0.222595,2.247907,
4,5,Co-In-Si-O,"{""Co"": 0.1668991932334837, ""In"": 0.8331008067665162}",550,0.77995,1.0,0.076903,0.25492,2.247907,
4,6,Mn-Ni-Pd-O,"{""Mn"": 0.32837476139069816, ""Ni"": 0.06679205532832869, ""Pd"": 0.6048331832809731}",550,0.734628,0.523845,0.123742,0.176908,2.954281,
4,7,Mn-Ni-Pd-O,"{""Mn"": 0.1752831215306652, ""Ni"": 0.10309654155485569, ""Pd"": 0.721620336914479}",550,0.66275,0.560114,0.131128,0.142551,2.957362,
4,8,Mn-Ni-Pd-O,"{""Mn"": 0.2864746521741095, ""Ni"": 0.44160783808473497, ""Pd"": 0.2719175097411556}",550,0.590926,0.80393,0.160079,0.126933,2.957362,
4,9,Mn-Pd-Zn-O,"{""Mn"": 0.05159288682126927, ""Pd"": 0.8905690758920519, ""Zn"": 0.05783803728667873}",550,0.614306,0.576482,0.162059,0.022747,2.967882,
4,10,Mn-Ni-Pd-O,"{""Mn"": 0.01715741329294175, ""Ni"": 0.02579982314563415, ""Pd"": 0.957042763561424}",550,0.587604,0.589354,0.125458,0.051037,2.967882,
4,11,Mn-Ni-Pd-O,"{""Mn"": 0.2901265714719373, ""Ni"": 0.07260810452198739, ""Pd"": 0.6372653240060753}",550,0.562771,0.520901,0.110251,0.087115,2.990143,
4,12,In-Mn-Pd-O,"{""In"": 0.07023121592726059, ""Mn"": 0.27670140169429713, ""Pd"": 0.6530673823784422}",550,0.587436,0.507365,0.089479,0.090649,3.073279,
4,13,In-Mn-Pd-O,"{""In"": 0.056100900792319205, ""Mn"": 0.0634796603358694, ""Pd"": 0.8804194388718114}",550,0.68127,0.547571,0.063149,-0.072961,3.099963,
4,14,In-Mn-Pd-O,"{""In"": 0.08561389016399013, ""Mn"": 0.1313398420440644, ""Pd"": 0.7830462677919455}",550,0.61566,0.557793,0.030483,0.069428,3.099963,
4,15,In-Mn-Pd-O,"{""In"": 0.04878776822910443, ""Mn"": 0.2879258484740704, ""Pd"": 0.6632863832968252}",550,0.527105,0.495034,0.056937,-0.075646,3.185561,
4,16,In-Mn-Pd-O,"{""In"": 0.05218966198465292, ""Mn"": 0.3271353985864145, ""Pd"": 0.6206749394289326}",550,0.521756,0.512036,0.020213,0.081976,3.185561,
4,17,In-Mn-Pd-O,"{""In"": 0.05379369828820083, ""Mn"": 0.33113609723252174, ""Pd"": 0.6150702044792774}",550,0.513415,0.500854,0.052115,0.058014,3.185561,
4,18,In-Mn-Pd-O,"{""In"": 0.07775666649006174, ""Mn"": 0.3066161909085832, ""Pd"": 0.615627142601355}",0,0.511784,0.610855,0.070325,0.190901,3.185561,
4,19,Mn-Pd-Zn-O,"{""Mn"": 0.25137839327036443, ""Pd"": 0.6701247912292412, ""Zn"": 0.07849681550039449}",550,0.535707,0.790764,0.073473,0.119208,3.185561,
4,20,In-Mn-Pd-O,"{""In"": 0.042409494002724576, ""Mn"": 0.42689256270205694, ""Pd"": 0.5306979432952185}",550,0.551693,0.507859,0.066559,-0.034148,3.185561,
4,21,In-Mn-Pd-O,"{""In"": 0.014397582279969259, ""Mn"": 0.22828835007158713, ""Pd"": 0.7573140676484436}",550,0.542081,0.486738,0.004447,0.07178,3.236676,
4,22,In-Mn-Pd-O,"{""In"": 0.044310571423111254, ""Mn"": 0.07464775799245787, ""Pd"": 0.8810416705844308}",550,0.57459,0.527397,-0.01883,-0.148576,3.271143,
4,23,In-Mn-Pd-O,"{""In"": 0.06189116978794804, ""Mn"": 0.0987940365867387, ""Pd"": 0.8393147936253132}",550,0.565593,0.528069,-0.021773,0.068041,3.271143,
4,24,In-Mn-Pd-O,"{""In"": 0.06314132356524435, ""Mn"": 0.1347090477130088, ""Pd"": 0.8021496287217468}",550,0.546304,0.509622,0.050124,0.031273,3.271143,
4,25,In-Mn-Pd-O,"{""In"": 0.0793189636274222, ""Mn"": 0.0902428723717034, ""Pd"": 0.8304381640008743}",550,0.62501,0.55272,0.023415,-0.029337,3.271143,
4,26,In-Mn-Pd-O,"{""In"": 0.05021822544889951, ""Mn"": 0.5238487840934755, ""Pd"": 0.42593299045762506}",550,0.596735,0.521999,0.025189,0.133746,3.271143,
4,27,Mn-Ni-Pd-O,"{""Mn"": 0.11736376963788844, ""Ni"": 0.0905246155730535, ""Pd"": 0.792111614789058}",550,0.600445,0.622796,0.080721,-0.009966,3.271143,
4,28,In-Mn-Pd-O,"{""In"": 0.0650824434302943, ""Mn"": 0.018730465340316065, ""Pd"": 0.9161870912293896}",0,0.57191,0.596845,0.014069,0.814724,3.271143,
4,29,In-Mn-Pd-O,"{""In"": 0.14936205447243683, ""Mn"": 0.2076901438187493, ""Pd"": 0.6429478017088139}",550,0.585791,0.584246,0.04521,0.105546,3.271143,
4,30,In-Mn-Pd-O,"{""In"": 0.05891653681514183, ""Mn"": 0.04827078204685004, ""Pd"": 0.892812681138008}",550,0.549766,0.529626,-0.030347,-0.234391,3.311508,
4,31,Ag-Nb-Ni-O,"{""Ag"": 0.6463658151961346, ""Nb"": 0.27048141653330476, ""Ni"": 0.08315276827056055}",550,0.668802,1.0,0.003877,0.253353,3.311508,
4,32,Mn-Pd-Zn-O,"{""Mn"": 0.17679509191352924, ""Pd"": 0.7564293238185086, ""Zn"": 0.06677558426796217}",550,0.600512,0.61585,0.077603,0.133639,3.311508,
4,33,Ni-Pd-Ta-O,"{""Ni"": 0.17250256341319753, ""Pd"": 0.7453462175669912, ""Ta"": 0.08215121901981129}",550,0.648943,0.553072,0.065505,0.029141,3.311508,
4,34,In-Mn-Pd-O,"{""In"": 0.1760374963110452, ""Mn"": 0.2991179441506801, ""Pd"": 0.5248445595382746}",550,0.592372,0.585881,0.098932,0.120282,3.311508,
4,35,In-Mn-Pd-O,"{""In"": 0.0502959325660693, ""Mn"": 0.5788076606219809, ""Pd"": 0.3708964068119499}",550,0.666259,0.522018,0.091595,0.123232,3.311508,
4,36,Ge-In-Zr-O,"{""Ge"": 0.11266930479854183, ""In"": 0.839600354146729, ""Zr"": 0.0477303410547292}",550,0.565819,1.0,-0.031575,0.608413,3.311508,
4,37,Ni-Pd-Ta-O,"{""Ni"": 0.2997070862446293, ""Pd"": 0.38618011791956186, ""Ta"": 0.3141127958358088}",550,0.610678,0.804354,0.039302,0.019809,3.311508,
4,38,Ag-Ni-Sb-O,"{'Sb': 0.14028, 'Ag': 0.82375, 'Ni': 0.03597}",550,0.654026,0.821058,-7.9e-05,0.524219,3.311508,
4,39,Al-Cu-Mo-O,"{'Al': 0.22514, 'Cu': 0.48993, 'Mo': 0.28493}",700,0.659747,0.952048,0.042423,0.096949,3.311508,
4,40,Ni-Pd-Ta-O,"{""Ni"": 0.033213002140411854, ""Pd"": 0.8238943840471122, ""Ta"": 0.14289261381247592}",550,0.642471,0.571994,0.046932,-0.004912,3.311508,
4,41,In-Mn-Pd-O,"{""In"": 0.05985814259108442, ""Mn"": 0.042915300831115576, ""Pd"": 0.8972265565778}",550,0.54794,0.567808,-0.053008,-0.05914,3.311508,
4,42,In-Mn-Pd-O,"{""In"": 0.028990258354419284, ""Mn"": 0.03693590282476674, ""Pd"": 0.934073838820814}",550,0.551015,0.531315,0.080429,-0.136319,3.311508,
4,43,In-Mn-Pd-O,"{""In"": 0.09765043768859957, ""Mn"": 0.21338520725684687, ""Pd"": 0.6889643550545536}",0,0.556845,0.59123,0.085044,0.344503,3.311508,
4,44,Co-Mo-Pd-O,"{""Co"": 0.07341363971877567, ""Mo"": 0.0507077791458157, ""Pd"": 0.8758785811354087}",550,0.614957,0.63721,0.042405,0.108856,3.311508,
4,45,In-Mn-Pd-O,"{""In"": 0.07978659119665726, ""Mn"": 0.2369801359400674, ""Pd"": 0.6832332728632754}",550,0.557688,0.508896,0.082053,0.028395,3.311508,
4,46,In-Mn-Pd-O,"{""In"": 0.07801338718013939, ""Mn"": 0.39997167883629875, ""Pd"": 0.5220149339835619}",550,0.541672,0.543262,0.092896,0.139143,3.311508,
4,47,Mn-Ni-Pd-O,"{""Mn"": 0.38750364222850053, ""Ni"": 0.07579934661891238, ""Pd"": 0.5366970111525872}",550,0.56823,0.530295,0.131743,0.192224,3.311508,
4,48,Mn-Pd-Zn-O,"{""Mn"": 0.09111018252437132, ""Pd"": 0.7296988138391909, ""Zn"": 0.17919100363643775}",550,0.639887,0.587285,0.090467,0.184857,3.311508,
4,49,In-Mn-Pd-O,"{""In"": 0.2360897577944854, ""Mn"": 0.15734990318291958, ""Pd"": 0.606560339022595}",550,0.72172,0.842545,0.089262,0.085874,3.311508,
4,50,In-Mn-Pd-O,"{""In"": 0.036791407928505195, ""Mn"": 0.01931446609606981, ""Pd"": 0.9438941259754251}",550,0.551451,0.551155,0.334126,-0.096188,3.311508,
5,1,Mn-Pd-Zn-O,"{""Mn"": 0.5601919553064068, ""Pd"": 0.3451079094642897, ""Zn"": 0.09470013522930361}",550,0.825,0.643058,0.164191,0.318194,2.203499,
5,2,Mn-Nb-Zn-O,"{'Mn': 0.08064009676083002, 'Nb': 0.8154019898721814, 'Zn': 0.10395791336698854}",700,0.886968,1.0,0.025345,0.002961,2.203499,
5,3,Co-Mo-Pd-O,"{""Co"": 0.7217582227675524, ""Mo"": 0.19221359885630426, ""Pd"": 0.08602817837614338}",550,0.781031,0.637421,0.169417,0.207557,2.249223,
5,4,Ag-Nb-Ni-O,"{""Ag"": 0.7334204348469423, ""Nb"": 0.0, ""Ni"": 0.2665795651530576}",550,0.756251,0.714617,0.142216,0.971648,2.249223,
5,5,In-Mn-Pd-O,"{""In"": 0.09765043768859957, ""Mn"": 0.21338520725684687, ""Pd"": 0.6889643550545536}",0,0.738051,0.59123,0.228093,0.344503,2.521213,
5,6,Mn-Pd-Zn-O,"{""Mn"": 0.5738663435618306, ""Pd"": 0.33790233754554266, ""Zn"": 0.08823131889262667}",550,0.720471,0.661842,0.227564,0.318228,2.521213,
5,7,Co-Ni-Zr-O,"{""Co"": 0.13974148923808874, ""Ni"": 0.45393175088338344, ""Zr"": 0.4063267598785278}",0,0.868323,0.667919,0.084904,0.602265,2.521213,
5,8,Ag-Ge-Hf-O,"{""Ag"": 0.10549413013748543, ""Ge"": 0.12875012850681772, ""Hf"": 0.7657557413556969}",550,0.762005,1.0,0.194605,0.061425,2.521213,
5,9,Fe-Sb-W-O,"{""Fe"": 0.2769011612338624, ""Sb"": 0.0, ""W"": 0.7230988387661377}",550,0.846781,1.0,0.163721,0.033851,2.521213,
5,10,In-Mn-Pd-O,"{""In"": 0.28985393550867283, ""Mn"": 0.1965331105863635, ""Pd"": 0.5136129539049638}",550,0.690702,0.631926,0.267307,0.06893,2.538401,
5,11,In-Mn-Pd-O,"{""In"": 0.07801338718013939, ""Mn"": 0.39997167883629875, ""Pd"": 0.5220149339835619}",550,0.648909,0.543262,0.235475,0.139143,2.839061,
5,12,Ni-Pd-Ta-O,"{""Ni"": 0.10409852739323483, ""Pd"": 0.685310673868292, ""Ta"": 0.2105907987384732}",550,0.757855,0.74363,0.181978,-0.019365,2.839667,
5,13,In-Mn-Pd-O,"{""In"": 0.05379369828820083, ""Mn"": 0.33113609723252174, ""Pd"": 0.6150702044792774}",550,0.612325,0.500854,0.202273,0.058014,3.109939,
5,14,Al-Cu-Mo-O,"{'Al': 0.47958, 'Cu': 0.02909, 'Mo': 0.49133}",550,0.817391,1.0,0.093149,0.020101,3.109939,
5,15,In-Mn-Pd-O,"{""In"": 0.014397582279969259, ""Mn"": 0.22828835007158713, ""Pd"": 0.7573140676484436}",550,0.574073,0.486738,0.150721,0.07178,3.19691,
5,16,In-Mn-Pd-O,"{""In"": 0.05218966198465292, ""Mn"": 0.3271353985864145, ""Pd"": 0.6206749394289326}",550,0.561861,0.512036,0.134465,0.081976,3.19691,
5,17,In-Mn-Pd-O,"{""In"": 0.12669507241346578, ""Mn"": 0.2731046362684877, ""Pd"": 0.6002002913180464}",550,0.566799,0.573808,0.12028,0.052957,3.197769,
5,18,Ni-Pd-Ta-O,"{""Ni"": 0.031209369965014742, ""Pd"": 0.7817180816866676, ""Ta"": 0.1870725483483176}",550,0.735413,0.536471,0.086926,-0.002859,3.20952,
5,19,In-Mn-Pd-O,"{""In"": 0.04878776822910443, ""Mn"": 0.2879258484740704, ""Pd"": 0.6632863832968252}",550,0.534552,0.495034,0.129118,-0.075646,3.236676,
5,20,In-Mn-Pd-O,"{""In"": 0.07023121592726059, ""Mn"": 0.27670140169429713, ""Pd"": 0.6530673823784422}",550,0.528559,0.507365,0.04582,0.090649,3.236676,
5,21,In-Mn-Pd-O,"{""In"": 0.07978659119665726, ""Mn"": 0.2369801359400674, ""Pd"": 0.6832332728632754}",550,0.526009,0.508896,0.041362,0.028395,3.236676,
5,22,In-Mn-Pd-O,"{""In"": 0.08051682457864125, ""Mn"": 0.16358109823978675, ""Pd"": 0.755902077181572}",550,0.515038,0.546335,0.044011,0.044137,3.236676,
5,23,Co-In-Si-O,"{""Co"": 0.13047479003887047, ""In"": 0.8695252099611296}",550,0.64149,0.979049,0.243213,0.304859,3.236676,
5,24,Ge-In-Zr-O,"{""Ge"": 0.4004846159056782, ""In"": 0.5112503075554058, ""Zr"": 0.08826507653891609}",550,0.866822,0.994715,0.024834,0.521866,3.236676,
5,25,In-Mn-Pd-O,"{""In"": 0.07777877513096047, ""Mn"": 0.10658976478394228, ""Pd"": 0.8156314600850972}",550,0.515502,0.568529,0.045139,0.096101,3.236676,
5,26,In-Mn-Pd-O,"{""In"": 0.042409494002724576, ""Mn"": 0.42689256270205694, ""Pd"": 0.5306979432952185}",550,0.537996,0.507859,0.086016,-0.034148,3.236676,
5,27,In-Mn-Pd-O,"{""In"": 0.05021822544889951, ""Mn"": 0.5238487840934755, ""Pd"": 0.42593299045762506}",550,0.581294,0.521999,0.068205,0.133746,3.236676,
5,28,Ni-Pd-Ta-O,"{""Ni"": 0.033213002140411854, ""Pd"": 0.8238943840471122, ""Ta"": 0.14289261381247592}",550,0.630258,0.571994,0.056131,-0.004912,3.236676,
5,29,In-Mn-Pd-O,"{""In"": 0.2360897577944854, ""Mn"": 0.15734990318291958, ""Pd"": 0.606560339022595}",550,0.64585,0.842545,0.072209,0.085874,3.236676,
5,30,In-Mn-Pd-O,"{""In"": 0.09657890374188693, ""Mn"": 0.5563088524004375, ""Pd"": 0.3471122438576756}",550,0.702709,0.556307,0.103997,0.106146,3.236676,
5,31,In-Mn-Pd-O,"{""In"": 0.14936205447243683, ""Mn"": 0.2076901438187493, ""Pd"": 0.6429478017088139}",550,0.608411,0.584246,0.059635,0.105546,3.236676,
5,32,In-Mn-Pd-O,"{""In"": 0.06455292438018106, ""Mn"": 0.6773031227311312, ""Pd"": 0.25814395288868774}",550,0.534754,0.542017,0.099173,0.158192,3.236676,
5,33,Ni-Pd-Ta-O,"{""Ni"": 0.04413737062120079, ""Pd"": 0.6869342835874181, ""Ta"": 0.2689283457913811}",550,0.649765,0.564769,-0.002603,-0.000331,3.236676,
5,34,Nb-Ni-Ta-O,"{""Nb"": 0.8866994564941099, ""Ni"": 0.06173310423217379, ""Ta"": 0.051567439273716396}",550,0.66755,1.0,-0.005606,-0.013509,3.236676,
5,35,Mn-Pd-Zn-O,"{""Mn"": 0.1416118846462626, ""Pd"": 0.7598139159830843, ""Zn"": 0.09857419937065315}",550,0.548221,0.560832,0.082758,0.108665,3.236676,
5,36,Ni-Pd-Ta-O,"{""Ni"": 0.12224298683288626, ""Pd"": 0.710357576894481, ""Ta"": 0.1673994362726327}",550,0.647252,0.65814,0.009012,7.1e-05,3.236676,
5,37,Mn-Ni-Pd-O,"{""Mn"": 0.38750364222850053, ""Ni"": 0.07579934661891238, ""Pd"": 0.5366970111525872}",550,0.642646,0.530295,0.09376,0.192224,3.236676,
5,38,Mn-Ni-Pd-O,"{""Mn"": 0.2901265714719373, ""Ni"": 0.07260810452198739, ""Pd"": 0.6372653240060753}",550,0.563787,0.520901,0.103782,0.087115,3.236676,
5,39,In-Mn-Pd-O,"{""In"": 0.07775666649006174, ""Mn"": 0.3066161909085832, ""Pd"": 0.615627142601355}",0,0.525899,0.610855,0.059398,0.190901,3.236676,
5,40,Mn-Ni-Pd-O,"{""Mn"": 0.32837476139069816, ""Ni"": 0.06679205532832869, ""Pd"": 0.6048331832809731}",550,0.537229,0.523845,0.115586,0.176908,3.236676,
5,41,In-Mn-Pd-O,"{""In"": 0.06314132356524435, ""Mn"": 0.1347090477130088, ""Pd"": 0.8021496287217468}",550,0.54605,0.509622,0.108386,0.031273,3.236676,
5,42,In-Mn-Pd-O,"{""In"": 0.0502959325660693, ""Mn"": 0.5788076606219809, ""Pd"": 0.3708964068119499}",550,0.600906,0.522018,0.121012,0.123232,3.236676,
5,43,In-Mn-Pd-O,"{""In"": 0.33238572777481723, ""Mn"": 0.31711498462046817, ""Pd"": 0.3504992876047146}",550,0.745393,0.747651,0.068687,0.119754,3.236676,
5,44,In-Mn-Pd-O,"{""In"": 0.044310571423111254, ""Mn"": 0.07464775799245787, ""Pd"": 0.8810416705844308}",550,0.546986,0.527397,0.154166,-0.148576,3.271143,
5,45,In-Mn-Pd-O,"{""In"": 0.06189116978794804, ""Mn"": 0.0987940365867387, ""Pd"": 0.8393147936253132}",550,0.525513,0.528069,0.032412,0.068041,3.271143,
5,46,Mn-Pd-Zn-O,"{""Mn"": 0.18840695577236277, ""Pd"": 0.7594632884437461, ""Zn"": 0.05212975578389115}",550,0.551411,0.548787,0.103934,0.131664,3.271143,
5,47,Mn-Ni-Pd-O,"{""Mn"": 0.11736376963788844, ""Ni"": 0.0905246155730535, ""Pd"": 0.792111614789058}",550,0.595696,0.622796,0.141732,-0.009966,3.271143,
5,48,In-Mn-Pd-O,"{""In"": 0.09775736023697856, ""Mn"": 0.7060988265887281, ""Pd"": 0.19614381317429339}",550,0.732869,0.622227,0.20896,0.106921,3.271143,
5,49,In-Mn-Pd-O,"{""In"": 0.06524340670869531, ""Mn"": 0.02153704629566307, ""Pd"": 0.9132195469956416}",550,0.564541,0.541838,0.082727,0.044127,3.271143,
5,50,Al-Cu-Mo-O,"{'Al': 0.13535, 'Cu': 0.53159, 'Mo': 0.33306}",700,0.707721,0.949984,0.181972,0.123864,3.271143,
6,1,Co-Mn-Nb-O,"{""Co"": 0.47354753643369135, ""Mn"": 0.29874012749559603, ""Nb"": 0.22771233607071256}",400,0.803566,0.811903,0.214704,0.098778,1.74329,
6,2,Mn-Nb-Zn-O,"{'Mn': 0.12448971923321082, 'Nb': 0.720808299209908, 'Zn': 0.1547019815568811}",550,0.934166,0.949239,0.017411,0.006595,1.74329,
6,3,Co-Mo-Pd-O,"{""Co"": 0.10376979236107119, ""Mo"": 0.08462846934591049, ""Pd"": 0.8116017382930183}",550,0.799528,0.649778,0.187724,0.040015,2.191646,
6,4,Co-Mo-Pd-O,"{""Co"": 0.27725537865851374, ""Mo"": 0.21107325182634606, ""Pd"": 0.5116713695151401}",550,0.799869,0.640417,0.124798,0.222595,2.247907,
6,5,Co-In-Si-O,"{""Co"": 0.1668991932334837, ""In"": 0.8331008067665162}",550,0.77995,1.0,0.076903,0.25492,2.247907,
6,6,Mn-Ni-Pd-O,"{""Mn"": 0.32837476139069816, ""Ni"": 0.06679205532832869, ""Pd"": 0.6048331832809731}",550,0.734628,0.523845,0.123742,0.176908,2.954281,
6,7,Al-Cu-Mo-O,"{'Al': 0.04351, 'Cu': 0.01847, 'Mo': 0.93802}",550,0.90658,0.945614,0.03283,0.12888,2.954281,
6,8,Mn-Ni-Pd-O,"{""Mn"": 0.07801732924430468, ""Ni"": 0.038031991808914124, ""Pd"": 0.8839506789467813}",550,0.654312,0.558386,0.137254,0.015045,2.971589,
6,9,Al-Cu-Mo-O,"{'Al': 0.19155, 'Cu': 0.06506, 'Mo': 0.74339}",550,0.922214,0.924533,0.053788,0.058649,2.971589,
6,10,Co-Ni-Pd-O,"{""Co"": 0.034186777338562194, ""Ni"": 0.003876776377088735, ""Pd"": 0.9619364462843492}",550,0.613937,0.928593,0.099707,-0.069154,2.972796,
6,11,Mn-Ni-Pd-O,"{""Mn"": 0.2901265714719373, ""Ni"": 0.07260810452198739, ""Pd"": 0.6372653240060753}",550,0.595343,0.520901,0.110671,0.087115,2.993994,
6,12,Mn-Ni-Pd-O,"{""Mn"": 0.1752831215306652, ""Ni"": 0.10309654155485569, ""Pd"": 0.721620336914479}",550,0.586175,0.560114,0.076925,0.142551,2.993994,
6,13,In-Mn-Pd-O,"{""In"": 0.04878776822910443, ""Mn"": 0.2879258484740704, ""Pd"": 0.6632863832968252}",550,0.591344,0.495034,0.090603,-0.075646,3.185561,
6,14,In-Mn-Pd-O,"{""In"": 0.05218966198465292, ""Mn"": 0.3271353985864145, ""Pd"": 0.6206749394289326}",550,0.555257,0.512036,0.004356,0.081976,3.185561,
6,15,In-Mn-Pd-O,"{""In"": 0.042409494002724576, ""Mn"": 0.42689256270205694, ""Pd"": 0.5306979432952185}",550,0.540942,0.507859,0.046497,-0.034148,3.185561,
6,16,In-Mn-Pd-O,"{""In"": 0.05379369828820083, ""Mn"": 0.33113609723252174, ""Pd"": 0.6150702044792774}",550,0.525314,0.500854,0.033449,0.058014,3.185561,
6,17,In-Mn-Pd-O,"{""In"": 0.07801338718013939, ""Mn"": 0.39997167883629875, ""Pd"": 0.5220149339835619}",550,0.518741,0.543262,0.051676,0.139143,3.185561,
6,18,In-Mn-Pd-O,"{""In"": 0.07775666649006174, ""Mn"": 0.3066161909085832, ""Pd"": 0.615627142601355}",0,0.543811,0.610855,0.039181,0.190901,3.185561,
6,19,In-Mn-Pd-O,"{""In"": 0.07023121592726059, ""Mn"": 0.27670140169429713, ""Pd"": 0.6530673823784422}",550,0.579432,0.507365,0.04858,0.090649,3.185561,
6,20,In-Mn-Pd-O,"{""In"": 0.014397582279969259, ""Mn"": 0.22828835007158713, ""Pd"": 0.7573140676484436}",550,0.530773,0.486738,0.01246,0.07178,3.236676,
6,21,In-Mn-Pd-O,"{""In"": 0.07978659119665726, ""Mn"": 0.2369801359400674, ""Pd"": 0.6832332728632754}",550,0.680541,0.508896,0.062538,0.028395,3.236676,
6,22,Mn-Ni-Pd-O,"{""Mn"": 0.04852505166983407, ""Ni"": 0.027224432947693954, ""Pd"": 0.9242505153824719}",550,0.664468,0.573906,0.029957,0.179134,3.236676,
6,23,Mn-Pd-Zn-O,"{""Mn"": 0.25137839327036443, ""Pd"": 0.6701247912292412, ""Zn"": 0.07849681550039449}",550,0.536483,0.790764,0.077678,0.119208,3.236676,
6,24,Mn-Ni-Pd-O,"{""Mn"": 0.38750364222850053, ""Ni"": 0.07579934661891238, ""Pd"": 0.5366970111525872}",550,0.5438,0.530295,0.099482,0.192224,3.236676,
6,25,Co-Ni-Pd-O,"{""Co"": 0.07293261412576602, ""Ni"": 0.005519208234546387, ""Pd"": 0.9215481776396875}",550,0.665063,1.0,0.063395,0.010934,3.236676,
6,26,Ni-Pd-Ta-O,"{""Ni"": 0.06497016675708737, ""Pd"": 0.889758224718729, ""Ta"": 0.045271608524183535}",550,0.507332,0.647123,0.056563,0.004436,3.236676,
6,27,In-Mn-Pd-O,"{""In"": 0.05021822544889951, ""Mn"": 0.5238487840934755, ""Pd"": 0.42593299045762506}",550,0.512056,0.521999,0.051401,0.133746,3.236676,
6,28,Co-Ni-Pd-O,"{""Co"": 0.09830830188540111, ""Ni"": 0.029173622260260778, ""Pd"": 0.8725180758543382}",550,0.796197,0.901548,0.023707,-0.015811,3.236676,
6,29,Ni-Pd-Ta-O,"{""Ni"": 0.04413737062120079, ""Pd"": 0.6869342835874181, ""Ta"": 0.2689283457913811}",550,0.535116,0.564769,0.015454,-0.000331,3.236676,
6,30,Ni-Pd-Ta-O,"{""Ni"": 0.031209369965014742, ""Pd"": 0.7817180816866676, ""Ta"": 0.1870725483483176}",550,0.561505,0.536471,0.032961,-0.002859,3.236676,
6,31,Ni-Pd-Ta-O,"{""Ni"": 0.033213002140411854, ""Pd"": 0.8238943840471122, ""Ta"": 0.14289261381247592}",550,0.588164,0.571994,0.010226,-0.004912,3.236676,
6,32,In-Mn-Pd-O,"{""In"": 0.14936205447243683, ""Mn"": 0.2076901438187493, ""Pd"": 0.6429478017088139}",550,0.574301,0.584246,0.055067,0.105546,3.236676,
6,33,Ni-Pd-Ta-O,"{""Ni"": 0.35462782844477203, ""Pd"": 0.30538205132237606, ""Ta"": 0.33999012023285197}",550,0.695881,0.887275,0.010357,0.016514,3.236676,
6,34,In-Mn-Pd-O,"{""In"": 0.06314132356524435, ""Mn"": 0.1347090477130088, ""Pd"": 0.8021496287217468}",550,0.543381,0.509622,0.055536,0.031273,3.236676,
6,35,Ni-Pd-Ta-O,"{""Ni"": 0.10409852739323483, ""Pd"": 0.685310673868292, ""Ta"": 0.2105907987384732}",550,0.591109,0.74363,0.005382,-0.019365,3.236676,
6,36,Fe-Ni-Ta-O,"{""Fe"": 0.09637270555363453, ""Ni"": 0.6445171873009753, ""Ta"": 0.2591101071453901}",400,0.711939,0.719987,0.00068,0.30391,3.236676,
6,37,Ag-Pb-W-O,"{'Pb': 0.04792, 'W': 0.73663, 'Ag': 0.21544}",0,0.640424,1.0,0.001314,0.596229,3.236676,
6,38,In-Mn-Pd-O,"{""In"": 0.0793189636274222, ""Mn"": 0.0902428723717034, ""Pd"": 0.8304381640008743}",550,0.508546,0.55272,0.054584,-0.029337,3.236676,
6,39,Mn-Ni-Pd-O,"{""Mn"": 0.25921079634309147, ""Ni"": 0.20647552041604236, ""Pd"": 0.5343136832408661}",550,0.559728,0.607415,0.138526,0.100783,3.236676,
6,40,Ag-Ge-Hf-O,"{""Ag"": 0.7546291106754801, ""Ge"": 0.13617922887854522, ""Hf"": 0.10919166044597475}",550,0.649984,1.0,0.010935,0.373846,3.236676,
6,41,In-Mn-Pd-O,"{""In"": 0.044310571423111254, ""Mn"": 0.07464775799245787, ""Pd"": 0.8810416705844308}",550,0.57952,0.527397,-0.001377,-0.148576,3.271143,
6,42,In-Mn-Pd-O,"{""In"": 0.06189116978794804, ""Mn"": 0.0987940365867387, ""Pd"": 0.8393147936253132}",550,0.523319,0.528069,0.001647,0.068041,3.271143,
