llm,repeat,step,material_system,composition,composition_short,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_molar_change,actual_molar_change,hypervolume,n_remaining
gpt5.4,3,31,Nb-Ni-Ta-O,"{""Nb"": 0.08085147405600751, ""Ni"": 0.7443991734241601, ""Ta"": 0.17474935251983248}",Nb:0.0809 Ni:0.7444 Ta:0.1747,550,0.76,0.731271,0.62,0.410487,2.189299,2257
gpt5.4,8,27,Nb-Ni-Ta-O,"{""Nb"": 0.508031668527685, ""Ni"": 0.23503704773240905, ""Ta"": 0.2569312837399061}",Nb:0.5080 Ni:0.2350 Ta:0.2569,550,2.15,2.070313,-0.006,-0.005394,2.12276,2261
gpt5.4,6,26,Co-Mn-Nb-O,"{""Co"": 0.47354753643369135, ""Mn"": 0.29874012749559603, ""Nb"": 0.22771233607071256}",Co:0.4735 Mn:0.2987 Nb:0.2277,400,0.86,0.811903,0.055,0.098778,2.122565,2262
gpt5.4,5,23,Nb-Ni-Ta-O,"{""Nb"": 0.05378699559802126, ""Ni"": 0.10249676742410582, ""Ta"": 0.8437162369778729}",Nb:0.0538 Ni:0.1025 Ta:0.8437,550,1.95,5.134648,-0.015,-0.00321,2.121921,2265
gpt5.4,4,24,Nb-Ni-Ta-O,"{""Nb"": 0.42576836894227577, ""Ni"": 0.488301579189772, ""Ta"": 0.08593005186795219}",Nb:0.4258 Ni:0.4883 Ta:0.0859,550,1.15,1.694471,0.06,0.016974,2.221925,2264
gpt5.4,7,22,Co-Mn-Nb-O,"{""Co"": 0.45743165710405725, ""Mn"": 0.5041132737228817, ""Nb"": 0.03845506917306099}",Co:0.4574 Mn:0.5041 Nb:0.0385,550,0.785,0.831702,0.018,0.181098,2.121921,2266
gpt5.4,8,28,Nb-Ni-Ta-O,"{""Nb"": 0.2737491356371313, ""Ni"": 0.10883027909537525, ""Ta"": 0.6174205852674933}",Nb:0.2737 Ni:0.1088 Ta:0.6174,550,2.05,4.9849,-0.0065,-0.009172,2.12276,2260
gpt5.4,6,27,Co-Mn-Zr-O,"{""Co"": 0.8842657492480784, ""Mn"": 0.07435492074650135, ""Zr"": 0.04137933000542019}",Co:0.8843 Mn:0.0744 Zr:0.0414,550,0.69,0.644252,0.06,0.182381,2.218535,2261
gpt5.4,10,26,Co-Ni-Ta-O,"{""Co"": 0.10921626129644678, ""Ni"": 0.7758935408830564, ""Ta"": 0.11489019782049677}",Co:0.1092 Ni:0.7759 Ta:0.1149,550,0.7055,0.702434,0.66,0.702806,1.844747,2262
gpt5.4,3,32,Nb-Ni-Ta-O,"{""Nb"": 0.20465562999186127, ""Ni"": 0.5133730290011479, ""Ta"": 0.28197134100699084}",Nb:0.2047 Ni:0.5134 Ta:0.2820,550,0.865,1.329661,0.18,0.090076,2.189299,2256
gpt5.4,5,24,Co-Mn-Nb-O,"{""Co"": 0.12347057732951955, ""Mn"": 0.11689606929773765, ""Nb"": 0.7596333533727428}",Co:0.1235 Mn:0.1169 Nb:0.7596,550,1.65,2.123965,-0.01,0.005456,2.121921,2264
gpt5.4,2,29,Co-Nb-Sn-O,"{'Co': 0.93479, 'Nb': 0.04883, 'Sn': 0.01638}",Co:0.9348 Nb:0.0488 Sn:0.0164,550,0.664,0.674872,0.018,0.033117,2.343067,2259
gpt5.4,9,26,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",Nb:0.5393 Ni:0.3637 Ta:0.0970,550,1.95,2.687193,0.02,0.022534,2.188777,2262
gpt5.4,6,28,Co-Mn-Zr-O,"{""Co"": 0.8539997255534031, ""Mn"": 0.11529054396944806, ""Zr"": 0.030709730477148946}",Co:0.8540 Mn:0.1153 Zr:0.0307,550,0.638,0.68588,0.145,0.036528,2.221576,2260
gpt5.4,1,25,Nb-Ni-Ta-O,"{""Nb"": 0.05378699559802126, ""Ni"": 0.10249676742410582, ""Ta"": 0.8437162369778729}",Nb:0.0538 Ni:0.1025 Ta:0.8437,550,3.05,5.134648,-0.022,-0.00321,1.937202,2263
gpt5.4,8,29,Nb-Ni-Ta-O,"{""Nb"": 0.11161698831983531, ""Ni"": 0.3641129163589651, ""Ta"": 0.5242700953211996}",Nb:0.1116 Ni:0.3641 Ta:0.5243,550,1.92,1.120673,-0.006,0.056086,2.12276,2259
gpt5.4,4,25,Nb-Ni-Ta-O,"{""Nb"": 0.1663858782223016, ""Ni"": 0.3446351903008278, ""Ta"": 0.4889789314768706}",Nb:0.1664 Ni:0.3446 Ta:0.4890,550,1.18,1.775104,0.035,-0.004762,2.221925,2263
gpt5.4,3,33,Nb-Ni-Ta-O,"{""Nb"": 0.1663858782223016, ""Ni"": 0.3446351903008278, ""Ta"": 0.4889789314768706}",Nb:0.1664 Ni:0.3446 Ta:0.4890,550,1.65,1.775104,0.025,-0.004762,2.189299,2255
gpt5.4,7,23,Co-Mn-Nb-O,"{""Co"": 0.18956602194886754, ""Mn"": 0.7975828547575083, ""Nb"": 0.012851123293624101}",Co:0.1896 Mn:0.7976 Nb:0.0129,550,0.76,0.776936,0.055,0.120204,2.121921,2265
gpt5.4,8,30,Nb-Ni-Ta-O,"{""Nb"": 0.011760962753060286, ""Ni"": 0.21643881191124398, ""Ta"": 0.7718002253356957}",Nb:0.0118 Ni:0.2164 Ta:0.7718,550,3.6,2.68239,-0.012,-0.028818,2.12276,2258
gpt5.4,1,26,Co-Mn-Nb-O,"{""Co"": 0.8214965444681955, ""Mn"": 0.17850345553180458, ""Nb"": 0.0}",Co:0.8215 Mn:0.1785 Nb:0.0000,550,0.76,0.678799,0.085,0.093567,2.008904,2262
gpt5.4,10,27,Co-Ni-Ta-O,"{""Co"": 0.7212365412823777, ""Ni"": 0.19761267552453132, ""Ta"": 0.08115078319309099}",Co:0.7212 Ni:0.1976 Ta:0.0812,550,0.79,0.64551,0.23,0.117362,2.209954,2261
gpt5.4,5,25,Co-Mn-Nb-O,"{""Co"": 0.14559359763414445, ""Mn"": 0.7990936282580153, ""Nb"": 0.05531277410784018}",Co:0.1456 Mn:0.7991 Nb:0.0553,400,0.76,0.86928,0.09,0.187762,2.121921,2263
gpt5.4,3,34,Nb-Ni-Ta-O,"{""Nb"": 0.6178248870326298, ""Ni"": 0.1896764945612549, ""Ta"": 0.19249861840611526}",Nb:0.6178 Ni:0.1897 Ta:0.1925,550,1.76,2.220713,-0.022,-0.001035,2.189299,2254
gpt5.4,2,30,Co-Nb-Sn-O,"{'Co': 0.92741, 'Nb': 0.0477, 'Sn': 0.02489}",Co:0.9274 Nb:0.0477 Sn:0.0249,550,0.6665,0.679212,0.0225,0.020729,2.343071,2258
gpt5.4,9,27,Nb-Ni-Ta-O,"{""Nb"": 0.5058259975481362, ""Ni"": 0.32507013958225317, ""Ta"": 0.16910386286961054}",Nb:0.5058 Ni:0.3251 Ta:0.1691,550,2.15,2.344445,0.018,0.001463,2.188777,2261
gpt5.4,7,24,Co-Mn-Ti-O,"{'Co': 0.14865, 'Mn': 0.63783, 'Ti': 0.21352}",Co:0.1487 Mn:0.6378 Ti:0.2135,550,0.748,0.918404,0.095,0.150646,2.121921,2264
gpt5.4,6,29,Co-Mn-Zr-O,"{""Co"": 0.866684291948655, ""Mn"": 0.10092992939144035, ""Zr"": 0.032385778659904496}",Co:0.8667 Mn:0.1009 Zr:0.0324,550,0.651,0.654426,0.075,0.136051,2.221925,2259
gpt5.4,5,26,Nb-Ni-Ta-O,"{""Nb"": 0.6186532292561541, ""Ni"": 0.2524772601446675, ""Ta"": 0.12886951059917853}",Nb:0.6187 Ni:0.2525 Ta:0.1289,550,2.05,2.468908,0.015,-0.025659,2.121921,2262
gpt5.4,1,27,Co-Mn-Nb-O,"{""Co"": 0.8153016459586394, ""Mn"": 0.14242445249418428, ""Nb"": 0.042273901547176404}",Co:0.8153 Mn:0.1424 Nb:0.0423,400,0.705,0.660113,0.085,0.140637,2.122742,2261
gpt5.4,3,35,Nb-Ni-Ta-O,"{""Nb"": 0.11161698831983531, ""Ni"": 0.3641129163589651, ""Ta"": 0.5242700953211996}",Nb:0.1116 Ni:0.3641 Ta:0.5243,550,1.63,1.120673,0.015,0.056086,2.189299,2253
gpt5.4,4,26,Nb-Ni-Ta-O,"{""Nb"": 0.20465562999186127, ""Ni"": 0.5133730290011479, ""Ta"": 0.28197134100699084}",Nb:0.2047 Ni:0.5134 Ta:0.2820,550,1.02,1.329661,0.085,0.090076,2.221925,2262
gpt5.4,8,31,Nb-Ni-Ta-O,"{""Nb"": 0.6178248870326298, ""Ni"": 0.1896764945612549, ""Ta"": 0.19249861840611526}",Nb:0.6178 Ni:0.1897 Ta:0.1925,550,2.65,2.220713,-0.02,-0.001035,2.12276,2257
gpt5.4,9,28,Nb-Ni-Ta-O,"{""Nb"": 0.6186532292561541, ""Ni"": 0.2524772601446675, ""Ta"": 0.12886951059917853}",Nb:0.6187 Ni:0.2525 Ta:0.1289,550,2.95,2.468908,-0.002,-0.025659,2.188777,2260
gpt5.4,10,28,Co-Ni-Ta-O,"{""Co"": 0.7561351522042932, ""Ni"": 0.18751291271635315, ""Ta"": 0.05635193507935367}",Co:0.7561 Ni:0.1875 Ta:0.0564,550,0.638,0.635258,0.125,0.186207,2.271945,2260
gpt5.4,6,30,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.636,0.770922,0.19,0.447128,2.221925,2258
gpt5.4,4,27,Nb-Ni-Ta-O,"{""Nb"": 0.0030821406264331425, ""Ni"": 0.8177814653481412, ""Ta"": 0.17913639402542567}",Nb:0.0031 Ni:0.8178 Ta:0.1791,550,0.78,0.709014,0.62,0.745511,2.221925,2261
gpt5.4,2,31,Co-Nb-Sn-O,"{'Co': 0.9342403992767299, 'Nb': 0.045587570439990496, 'Sn': 0.02017203028327965}",Co:0.9342 Nb:0.0456 Sn:0.0202,700,0.671,0.678104,0.018,0.211311,2.343071,2257
gpt5.4,5,27,Co-Mn-Nb-O,"{""Co"": 0.08737445369571618, ""Mn"": 0.06398253467017803, ""Nb"": 0.8486430116341057}",Co:0.0874 Mn:0.0640 Nb:0.8486,400,1.95,1.13861,0.002,0.00652,2.121921,2261
gpt5.4,9,29,Nb-Ni-Ta-O,"{""Nb"": 0.508031668527685, ""Ni"": 0.23503704773240905, ""Ta"": 0.2569312837399061}",Nb:0.5080 Ni:0.2350 Ta:0.2569,550,2.18,2.070313,-0.006,-0.005394,2.188777,2259
gpt5.4,1,28,Co-Mn-Sn-O,"{""Co"": 0.8527516333816884, ""Mn"": 0.1472483666183116, ""Sn"": 0.0}",Co:0.8528 Mn:0.1472 Sn:0.0000,450,0.648,0.719698,0.115,0.072644,2.122898,2260
gpt5.4,8,32,Mn-Nb-Sb-O,"{""Mn"": 0.04840102875264951, ""Nb"": 0.9500719712753536, ""Sb"": 0.0015269999719968984}",Mn:0.0484 Nb:0.9501 Sb:0.0015,550,2.05,1.84493,-0.02,0.015237,2.12276,2256
gpt5.4,4,28,Nb-Ni-Ta-O,"{""Nb"": 0.6178248870326298, ""Ni"": 0.1896764945612549, ""Ta"": 0.19249861840611526}",Nb:0.6178 Ni:0.1897 Ta:0.1925,550,1.85,2.220713,0.0005,-0.001035,2.221925,2260
gpt5.4,3,36,Nb-Ni-Ta-O,"{""Nb"": 0.4071920722222669, ""Ni"": 0.10296184858658465, ""Ta"": 0.48984607919114853}",Nb:0.4072 Ni:0.1030 Ta:0.4898,550,1.48,5.035219,0.008,0.004213,2.189299,2252
gpt5.4,10,29,Co-Ni-Ta-O,"{""Co"": 0.7143254991620068, ""Ni"": 0.2175455842677984, ""Ta"": 0.06812891657019467}",Co:0.7143 Ni:0.2175 Ta:0.0681,550,0.628,0.701854,0.155,0.132465,2.271945,2259
gpt5.4,7,25,Co-Mn-Nb-O,"{""Co"": 0.5604471264888694, ""Mn"": 0.32914000654923875, ""Nb"": 0.11041286696189184}",Co:0.5604 Mn:0.3291 Nb:0.1104,400,0.76,0.71827,0.06,0.118474,2.121921,2263
gpt5.4,9,30,Nb-Ni-Ta-O,"{""Nb"": 0.6178248870326298, ""Ni"": 0.1896764945612549, ""Ta"": 0.19249861840611526}",Nb:0.6178 Ni:0.1897 Ta:0.1925,550,2.42,2.220713,-0.024,-0.001035,2.188777,2258
gpt5.4,10,30,Co-Ni-Ta-O,"{""Co"": 0.6458866417238288, ""Ni"": 0.302144121025398, ""Ta"": 0.05196923725077315}",Co:0.6459 Ni:0.3021 Ta:0.0520,550,0.669,0.645468,0.17,0.167816,2.271946,2258
gpt5.4,1,29,Co-Mn-Sn-O,"{""Co"": 0.8162482777321834, ""Mn"": 0.1837517222678165, ""Sn"": 0.0}",Co:0.8162 Mn:0.1838 Sn:0.0000,0,0.685,0.681297,0.085,0.168208,2.122898,2259
gpt5.4,5,28,Co-Mn-Nb-O,"{""Co"": 0.1881168479670205, ""Mn"": 0.20850727707993724, ""Nb"": 0.6033758749530423}",Co:0.1881 Mn:0.2085 Nb:0.6034,550,1.26,8.540324,0.006,-0.003896,2.121921,2260
gpt5.4,4,29,Nb-Ni-Ta-O,"{""Nb"": 0.4071920722222669, ""Ni"": 0.10296184858658465, ""Ta"": 0.48984607919114853}",Nb:0.4072 Ni:0.1030 Ta:0.4898,550,2.05,5.035219,-0.012,0.004213,2.221925,2259
gpt5.4,8,33,Co-Mn-Nb-O,"{""Co"": 0.12347057732951955, ""Mn"": 0.11689606929773765, ""Nb"": 0.7596333533727428}",Co:0.1235 Mn:0.1169 Nb:0.7596,550,1.52,2.123965,0.01,0.005456,2.12276,2255
gpt5.4,2,32,Co-Nb-Sn-O,"{'Co': 0.919639414186016, 'Nb': 0.06006078599052431, 'Sn': 0.020299799823459672}",Co:0.9196 Nb:0.0601 Sn:0.0203,700,0.6715,0.676616,0.095,0.169283,2.343071,2256
gpt5.4,7,26,Co-Mn-Nb-O,"{""Co"": 0.47354753643369135, ""Mn"": 0.29874012749559603, ""Nb"": 0.22771233607071256}",Co:0.4735 Mn:0.2987 Nb:0.2277,400,0.79,0.811903,0.055,0.098778,2.121921,2262
gpt5.4,3,37,Nb-Ni-Ta-O,"{""Nb"": 0.5058259975481362, ""Ni"": 0.32507013958225317, ""Ta"": 0.16910386286961054}",Nb:0.5058 Ni:0.3251 Ta:0.1691,550,1.95,2.344445,0.008,0.001463,2.189299,2251
gpt5.4,6,31,Co-Mn-Zr-O,"{""Co"": 0.8568337531537609, ""Mn"": 0.09936593349876961, ""Zr"": 0.043800313347469526}",Co:0.8568 Mn:0.0994 Zr:0.0438,0,0.666,0.554304,0.11,0.218667,2.762886,2257
gpt5.4,4,30,Nb-Ni-Ta-O,"{""Nb"": 0.11161698831983531, ""Ni"": 0.3641129163589651, ""Ta"": 0.5242700953211996}",Nb:0.1116 Ni:0.3641 Ta:0.5243,550,1.95,1.120673,0.015,0.056086,2.221925,2258
gpt5.4,9,31,Nb-Ni-Ta-O,"{""Nb"": 0.11161698831983531, ""Ni"": 0.3641129163589651, ""Ta"": 0.5242700953211996}",Nb:0.1116 Ni:0.3641 Ta:0.5243,550,1.95,1.120673,0.02,0.056086,2.188777,2257
gpt5.4,5,29,Co-Mn-Nb-O,"{""Co"": 0.20605052043173036, ""Mn"": 0.21812006537982667, ""Nb"": 0.5758294141884429}",Co:0.2061 Mn:0.2181 Nb:0.5758,400,1.65,7.611253,0.012,-0.005125,2.121921,2259
gpt5.4,6,32,Co-Mn-Zr-O,"{""Co"": 0.8755814597519909, ""Mn"": 0.08666948280871291, ""Zr"": 0.03774905743929625}",Co:0.8756 Mn:0.0867 Zr:0.0377,0,0.59,0.570899,0.165,0.193637,2.764722,2256
gpt5.4,9,32,Nb-Ni-Ta-O,"{""Nb"": 0.1663858782223016, ""Ni"": 0.3446351903008278, ""Ta"": 0.4889789314768706}",Nb:0.1664 Ni:0.3446 Ta:0.4890,550,1.08,1.775104,0.045,-0.004762,2.188777,2256
gpt5.4,4,31,Nb-Ni-Ta-O,"{""Nb"": 0.5058259975481362, ""Ni"": 0.32507013958225317, ""Ta"": 0.16910386286961054}",Nb:0.5058 Ni:0.3251 Ta:0.1691,550,1.85,2.344445,0.012,0.001463,2.221925,2257
gpt5.4,1,30,Co-Mn-Sn-O,"{""Co"": 0.739857849958722, ""Mn"": 0.26014215004127805, ""Sn"": 0.0}",Co:0.7399 Mn:0.2601 Sn:0.0000,0,0.676,0.701671,0.145,0.062259,2.123465,2258
gpt5.4,5,30,Co-Mn-Nb-O,"{""Co"": 0.11939154693726613, ""Mn"": 0.12680575555553789, ""Nb"": 0.7538026975071961}",Co:0.1194 Mn:0.1268 Nb:0.7538,400,1.45,1.087985,0.006,0.017385,2.121921,2258
gpt5.4,10,31,Co-Ni-Ta-O,"{""Co"": 0.6577089551175077, ""Ni"": 0.29828707707838403, ""Ta"": 0.044003967804108174}",Co:0.6577 Ni:0.2983 Ta:0.0440,550,0.641,0.644907,0.155,0.130557,2.271979,2257
gpt5.4,7,27,Co-Mn-Nb-O,"{""Co"": 0.40165229197936364, ""Mn"": 0.5983477080206364, ""Nb"": 0.0}",Co:0.4017 Mn:0.5983 Nb:0.0000,400,0.79,0.779768,0.09,0.078386,2.121921,2261
gpt5.4,9,33,Co-Mn-Nb-O,"{""Co"": 0.2855514538941347, ""Mn"": 0.13342251975662192, ""Nb"": 0.5810260263492434}",Co:0.2856 Mn:0.1334 Nb:0.5810,400,1.18,1.432106,-0.01,0.041078,2.188777,2255
gpt5.4,1,31,Co-Mn-Sn-O,"{""Co"": 0.670103014258027, ""Mn"": 0.3298969857419729, ""Sn"": 0.0}",Co:0.6701 Mn:0.3299 Sn:0.0000,0,0.692,0.649427,0.08,0.132895,2.188792,2257
gpt5.4,3,38,Nb-Ni-Ta-O,"{""Nb"": 0.05378699559802126, ""Ni"": 0.10249676742410582, ""Ta"": 0.8437162369778729}",Nb:0.0538 Ni:0.1025 Ta:0.8437,550,1.45,5.134648,-0.003,-0.00321,2.189299,2250
gpt5.4,5,31,Co-Mn-Nb-O,"{""Co"": 0.12644105543003623, ""Mn"": 0.21261371781891356, ""Nb"": 0.6609452267510503}",Co:0.1264 Mn:0.2126 Nb:0.6609,400,1.02,1.160229,0.02,0.028038,2.121921,2257
gpt5.4,8,34,Co-Mn-Nb-O,"{""Co"": 0.2855514538941347, ""Mn"": 0.13342251975662192, ""Nb"": 0.5810260263492434}",Co:0.2856 Mn:0.1334 Nb:0.5810,400,1.62,1.432106,0.0005,0.041078,2.12276,2254
gpt5.4,2,33,Co-Nb-Sn-O,"{'Co': 0.92741, 'Nb': 0.0477, 'Sn': 0.02489}",Co:0.9274 Nb:0.0477 Sn:0.0249,700,0.679,0.699735,0.18,0.004503,2.343071,2255
gpt5.4,7,28,Co-Mn-Zr-O,"{""Co"": 0.8842657492480784, ""Mn"": 0.07435492074650135, ""Zr"": 0.04137933000542019}",Co:0.8843 Mn:0.0744 Zr:0.0414,550,0.655,0.644252,0.085,0.182381,2.21789,2260
gpt5.4,6,33,Co-Mn-Zr-O,"{""Co"": 0.9043759324904563, ""Mn"": 0.08282655632260086, ""Zr"": 0.0127975111869428}",Co:0.9044 Mn:0.0828 Zr:0.0128,0,0.605,0.755619,0.155,0.09078,2.764722,2255
gpt5.4,9,34,Co-Mn-Sn-O,"{""Co"": 0.35386387885154913, ""Mn"": 0.6461361211484509, ""Sn"": 0.0}",Co:0.3539 Mn:0.6461 Sn:0.0000,450,0.77,0.793444,0.045,0.032324,2.188777,2254
gpt5.4,3,39,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",Nb:0.5393 Ni:0.3637 Ta:0.0970,550,2.45,2.687193,0.002,0.022534,2.189299,2249
gpt5.4,4,32,Nb-Ni-Ta-O,"{""Nb"": 0.508031668527685, ""Ni"": 0.23503704773240905, ""Ta"": 0.2569312837399061}",Nb:0.5080 Ni:0.2350 Ta:0.2569,550,1.95,2.070313,0.006,-0.005394,2.221925,2256
gpt5.4,7,29,Co-Mn-Zr-O,"{""Co"": 0.8539997255534031, ""Mn"": 0.11529054396944806, ""Zr"": 0.030709730477148946}",Co:0.8540 Mn:0.1153 Zr:0.0307,550,0.638,0.68588,0.165,0.036528,2.221576,2259
gpt5.4,5,32,Co-Mn-Sn-O,"{""Co"": 0.8527516333816884, ""Mn"": 0.1472483666183116, ""Sn"": 0.0}",Co:0.8528 Mn:0.1472 Sn:0.0000,450,0.69,0.719698,0.06,0.072644,2.122565,2256
gpt5.4,10,32,Co-Ni-Ta-O,"{""Co"": 0.5885876423431986, ""Ni"": 0.3591405689939138, ""Ta"": 0.05227178866288769}",Co:0.5886 Ni:0.3591 Ta:0.0523,550,0.661,0.64437,0.145,0.188096,2.271979,2256
gpt5.4,8,35,Co-Mn-Nb-O,"{""Co"": 0.20605052043173036, ""Mn"": 0.21812006537982667, ""Nb"": 0.5758294141884429}",Co:0.2061 Mn:0.2181 Nb:0.5758,400,1.36,7.611253,0.035,-0.005125,2.12276,2253
gpt5.4,6,34,Co-Mn-Zr-O,"{""Co"": 0.7857337774696935, ""Mn"": 0.16440744010157218, ""Zr"": 0.04985878242873422}",Co:0.7857 Mn:0.1644 Zr:0.0499,0,0.612,0.612158,0.165,0.148594,2.766511,2254
gpt5.4,1,32,Co-Mn-Sn-O,"{""Co"": 0.6996742777201921, ""Mn"": 0.30032572227980786, ""Sn"": 0.0}",Co:0.6997 Mn:0.3003 Sn:0.0000,450,0.688,0.774895,0.082,0.033269,2.188792,2256
gpt5.4,9,35,Co-Mn-Sn-O,"{""Co"": 0.42648253452239276, ""Mn"": 0.5735174654776072, ""Sn"": 0.0}",Co:0.4265 Mn:0.5735 Sn:0.0000,0,0.76,0.888262,0.055,0.126736,2.188777,2253
gpt5.4,2,34,Co-Nb-Sn-O,"{'Co': 0.94704, 'Nb': 0.03337, 'Sn': 0.01959}",Co:0.9470 Nb:0.0334 Sn:0.0196,550,0.658,0.685348,0.022,0.001671,2.343152,2254
gpt5.4,3,40,Nb-Ni-Ta-O,"{""Nb"": 0.508031668527685, ""Ni"": 0.23503704773240905, ""Ta"": 0.2569312837399061}",Nb:0.5080 Ni:0.2350 Ta:0.2569,550,2.15,2.070313,0.006,-0.005394,2.189299,2248
gpt5.4,4,33,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",Nb:0.5393 Ni:0.3637 Ta:0.0970,550,2.65,2.687193,0.006,0.022534,2.221925,2255
gpt5.4,7,30,Co-Mn-Zr-O,"{""Co"": 0.866684291948655, ""Mn"": 0.10092992939144035, ""Zr"": 0.032385778659904496}",Co:0.8667 Mn:0.1009 Zr:0.0324,550,0.652,0.654426,0.072,0.136051,2.221925,2258
gpt5.4,10,33,Co-Ni-Ta-O,"{""Co"": 0.7412025562138433, ""Ni"": 0.217362167858777, ""Ta"": 0.041435275927379556}",Co:0.7412 Ni:0.2174 Ta:0.0414,0,0.636,0.618133,0.155,0.511283,2.369961,2255
gpt5.4,3,41,Nb-Ni-Ta-O,"{""Nb"": 0.6186532292561541, ""Ni"": 0.2524772601446675, ""Ta"": 0.12886951059917853}",Nb:0.6187 Ni:0.2525 Ta:0.1289,550,2.65,2.468908,0.0008,-0.025659,2.189299,2247
gpt5.4,6,35,Co-Mn-Sn-O,"{""Co"": 0.8162482777321834, ""Mn"": 0.1837517222678165, ""Sn"": 0.0}",Co:0.8162 Mn:0.1838 Sn:0.0000,0,0.586,0.681297,0.145,0.168208,2.766511,2253
gpt5.4,5,33,Co-Mn-Sn-O,"{""Co"": 0.6996742777201921, ""Mn"": 0.30032572227980786, ""Sn"": 0.0}",Co:0.6997 Mn:0.3003 Sn:0.0000,450,0.701,0.774895,0.06,0.033269,2.122565,2255
gpt5.4,9,36,Co-Mn-Sn-O,"{""Co"": 0.3118851223156635, ""Mn"": 0.6881148776843364, ""Sn"": 0.0}",Co:0.3119 Mn:0.6881 Sn:0.0000,450,0.805,0.804096,0.028,0.024116,2.188777,2252
gpt5.4,1,33,Co-Mn-Sn-O,"{""Co"": 0.6655518173113129, ""Mn"": 0.33351118088215886, ""Sn"": 0.0009370018065283129}",Co:0.6656 Mn:0.3335 Sn:0.0009,450,0.705,0.806709,0.045,0.032419,2.188792,2255
gpt5.4,8,36,Co-Mn-Sn-O,"{""Co"": 0.5816327635626661, ""Mn"": 0.41836723643733376, ""Sn"": 0.0}",Co:0.5816 Mn:0.4184 Sn:0.0000,450,0.748,0.725343,0.061,0.091586,2.12276,2252
gpt5.4,2,35,Co-Nb-Sn-O,"{'Co': 0.92733, 'Nb': 0.05021, 'Sn': 0.02246}",Co:0.9273 Nb:0.0502 Sn:0.0225,550,0.6685,0.677795,0.0195,0.068951,2.343152,2253
gpt5.4,4,34,Nb-Ni-Ta-O,"{""Nb"": 0.2737491356371313, ""Ni"": 0.10883027909537525, ""Ta"": 0.6174205852674933}",Nb:0.2737 Ni:0.1088 Ta:0.6174,550,2.05,4.9849,0.003,-0.009172,2.221925,2254
gpt5.4,1,34,Co-Mn-Sn-O,"{""Co"": 0.710267156910369, ""Mn"": 0.2897328430896311, ""Sn"": 0.0}",Co:0.7103 Mn:0.2897 Sn:0.0000,450,0.76,0.716335,0.028,0.069022,2.188792,2254
gpt5.4,7,31,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.639,0.770922,0.165,0.447128,2.221925,2257
gpt5.4,1,35,Co-Mn-Sn-O,"{""Co"": 0.5721208553595054, ""Mn"": 0.4278791446404945, ""Sn"": 0.0}",Co:0.5721 Mn:0.4279 Sn:0.0000,450,0.835,0.766101,0.018,0.080554,2.188792,2253
gpt5.4,10,34,Co-Ni-Ta-O,"{""Co"": 0.7045514760648363, ""Ni"": 0.23640665295531985, ""Ta"": 0.05904187097984386}",Co:0.7046 Ni:0.2364 Ta:0.0590,0,0.632,0.56503,0.185,0.529119,2.672842,2254
gpt5.4,4,35,Co-Mn-Nb-O,"{""Co"": 0.12347057732951955, ""Mn"": 0.11689606929773765, ""Nb"": 0.7596333533727428}",Co:0.1235 Mn:0.1169 Nb:0.7596,550,1.95,2.123965,-0.015,0.005456,2.221925,2253
gpt5.4,3,42,Nb-Ni-Ta-O,"{""Nb"": 0.5530122160327089, ""Ni"": 0.14038634580272824, ""Ta"": 0.30660143816456287}",Nb:0.5530 Ni:0.1404 Ta:0.3066,550,3.05,2.382656,-0.01,-0.015189,2.189299,2246
gpt5.4,9,37,Co-Mn-Sn-O,"{""Co"": 0.2613078908590682, ""Mn"": 0.7386921091409318, ""Sn"": 0.0}",Co:0.2613 Mn:0.7387 Sn:0.0000,450,0.842,0.779024,0.021,0.057705,2.188777,2251
gpt5.4,7,32,Co-Mn-Zr-O,"{""Co"": 0.8755814597519909, ""Mn"": 0.08666948280871291, ""Zr"": 0.03774905743929625}",Co:0.8756 Mn:0.0867 Zr:0.0377,0,0.671,0.570899,0.12,0.193637,2.664916,2256
gpt5.4,5,34,Co-Mn-Sn-O,"{""Co"": 0.710267156910369, ""Mn"": 0.2897328430896311, ""Sn"": 0.0}",Co:0.7103 Mn:0.2897 Sn:0.0000,450,0.772,0.716335,0.034,0.069022,2.12276,2254
gpt5.4,1,36,Co-Mn-Sn-O,"{""Co"": 0.35386387885154913, ""Mn"": 0.6461361211484509, ""Sn"": 0.0}",Co:0.3539 Mn:0.6461 Sn:0.0000,450,0.82,0.793444,0.028,0.032324,2.188792,2252
