repeat,step,material_system,composition,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_molar_change,actual_molar_change,hypervolume
4,1,Co-In-Si-O,"{""Co"": 0.4169115551184158, ""In"": 0.5830884448815842}",0,3.422284,1.107384,0.00553,0.113286,1.74329
4,2,Fe-Sb-W-O,"{""Fe"": 0.053281706630836645, ""Sb"": 0.0030477721923588526, ""W"": 0.9436705211768045}",550,1.693602,1.027596,0.049974,-0.024967,1.74329
4,3,Fe-Ni-Ta-O,"{""Fe"": 0.3020023646506278, ""Ni"": 0.16412944382817807, ""Ta"": 0.5338681915211941}",400,1.936157,1.168,0.004026,0.023447,1.74329
4,4,Mn-Nb-Sb-O,"{""Mn"": 0.4571303249755999, ""Nb"": 0.5372933543813965, ""Sb"": 0.005576320643003576}",550,2.247082,1.079744,0.00172,0.100406,1.74329
4,5,Ni-Pd-Ta-O,"{""Ni"": 0.17250256341319753, ""Pd"": 0.7453462175669912, ""Ta"": 0.08215121901981129}",550,1.522988,0.553072,0.018939,0.029141,2.792671
4,6,Co-Nb-Sn-O,"{'Co': 0.477187604600918, 'Nb': 0.3282476046265705, 'Sn': 0.1945647907725116}",550,1.537956,0.839877,0.035913,0.04253,2.792671
4,7,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",550,1.571415,2.687193,0.005943,0.022534,2.792671
4,8,Ag-Nb-Ni-O,"{""Ag"": 0.3394320950591408, ""Nb"": 0.5338607924508958, ""Ni"": 0.12670711248996333}",0,1.947628,0.955376,0.032016,0.609831,2.792671
4,9,Mn-Ni-Pd-O,"{""Mn"": 0.04260347552650108, ""Ni"": 0.17298846507715393, ""Pd"": 0.7844080593963451}",550,0.856988,0.606701,0.028937,0.057486,2.792671
4,10,Co-Nb-Zr-O,"{""Co"": 0.41243857811462126, ""Nb"": 0.4920114181691707, ""Zr"": 0.09555000371620806}",550,1.467492,1.323499,0.038529,0.039128,2.792671
4,11,Ag-Nb-Ni-O,"{""Ag"": 0.273455113443174, ""Nb"": 0.49978854071497336, ""Ni"": 0.2267563458418527}",550,1.38736,0.905862,0.314762,0.069315,2.792671
4,12,Co-Nb-Sn-O,"{'Co': 0.2988844603210729, 'Nb': 0.5262393703499926, 'Sn': 0.17487616932893457}",550,1.654927,0.931565,0.038293,0.017941,2.792671
4,13,Co-Nb-Sn-O,"{'Co': 0.3060887525075652, 'Nb': 0.5263746929651044, 'Sn': 0.16753655452733046}",550,1.293514,0.859638,0.025584,-0.026468,2.792671
4,14,Ni-Pd-Ta-O,"{""Ni"": 0.10073667080010576, ""Pd"": 0.45605188139484126, ""Ta"": 0.443211447805053}",550,0.697553,1.39701,0.028674,-0.00629,2.792671
4,15,Co-Ni-Pd-O,"{""Co"": 0.039948117332867634, ""Ni"": 0.004488811226063852, ""Pd"": 0.9555630714410684}",550,0.758494,0.783209,0.031337,0.101466,2.792671
4,16,Co-Nb-Sn-O,"{'Co': 0.27454386718136153, 'Nb': 0.5495562083960752, 'Sn': 0.17589992442256341}",700,1.434048,0.98162,0.006797,-0.059267,2.792753
4,17,Ni-Pd-Ta-O,"{""Ni"": 0.24465377865737142, ""Pd"": 0.5761164341143308, ""Ta"": 0.1792297872282978}",0,0.913398,0.594298,0.105786,0.230382,2.792753
4,18,Ni-Pd-Ta-O,"{""Ni"": 0.04413737062120079, ""Pd"": 0.6869342835874181, ""Ta"": 0.2689283457913811}",550,0.767163,0.564769,0.031194,-0.000331,2.798227
4,19,Nb-Ni-Ta-O,"{""Nb"": 0.5530122160327089, ""Ni"": 0.14038634580272824, ""Ta"": 0.30660143816456287}",550,2.036015,2.382656,0.023049,-0.015189,2.798227
4,20,Ni-Pd-Ta-O,"{""Ni"": 0.2997070862446293, ""Pd"": 0.38618011791956186, ""Ta"": 0.3141127958358088}",550,0.898924,0.804354,0.019875,0.019809,2.798227
4,21,Ni-Pd-Ta-O,"{""Ni"": 0.07894095125371102, ""Pd"": 0.5490135112431097, ""Ta"": 0.3720455375031793}",550,0.79936,1.20314,-0.00077,0.027154,2.798227
4,22,Mn-Ni-Pd-O,"{""Mn"": 0.32837476139069816, ""Ni"": 0.06679205532832869, ""Pd"": 0.6048331832809731}",550,0.712191,0.523845,0.046578,0.176908,2.975222
4,23,Mn-Pd-Zn-O,"{""Mn"": 0.030963692468232024, ""Pd"": 0.7418484037406559, ""Zn"": 0.22718790379111203}",550,0.677836,0.595813,0.044779,0.152457,2.975222
4,24,In-Mn-Pd-O,"{""In"": 0.042409494002724576, ""Mn"": 0.42689256270205694, ""Pd"": 0.5306979432952185}",550,0.742237,0.507859,0.120026,-0.034148,3.088596
4,25,In-Mn-Pd-O,"{""In"": 0.1760374963110452, ""Mn"": 0.2991179441506801, ""Pd"": 0.5248445595382746}",550,0.608128,0.585881,0.029731,0.120282,3.088596
4,26,Mn-Pd-Zn-O,"{""Mn"": 0.37238337092788415, ""Pd"": 0.4596912762164277, ""Zn"": 0.1679253528556881}",550,0.673273,0.655162,0.079251,0.232459,3.088596
4,27,In-Mn-Pd-O,"{""In"": 0.11262280234658081, ""Mn"": 0.4597804111391463, ""Pd"": 0.42759678651427285}",550,0.727002,0.558834,0.065508,0.096854,3.088596
4,28,Nb-Ni-Ta-O,"{""Nb"": 0.508031668527685, ""Ni"": 0.23503704773240905, ""Ta"": 0.2569312837399061}",550,1.363203,2.070313,0.01975,-0.005394,3.088596
4,29,In-Mn-Pd-O,"{""In"": 0.04009563164933452, ""Mn"": 0.687476608887267, ""Pd"": 0.2724277594633984}",0,0.745737,0.759601,0.143704,0.455977,3.088596
4,30,Mn-Ni-Pd-O,"{""Mn"": 0.1363713256402836, ""Ni"": 0.3915977059300191, ""Pd"": 0.47203096842969733}",550,0.646595,0.644849,0.096515,0.195622,3.088596
4,31,In-Mn-Pd-O,"{""In"": 0.05021822544889951, ""Mn"": 0.5238487840934755, ""Pd"": 0.42593299045762506}",550,0.631775,0.521999,0.071873,0.133746,3.088596
4,32,Co-Mo-Pd-O,"{""Co"": 0.24826490551664546, ""Mo"": 0.19542662242009914, ""Pd"": 0.5563084720632554}",550,0.718157,0.77956,0.037265,0.05214,3.088596
4,33,Ni-Pd-Ta-O,"{""Ni"": 0.2572176187727891, ""Pd"": 0.508789319463049, ""Ta"": 0.23399306176416199}",0,0.66253,0.737123,0.225835,0.149107,3.088596
4,34,Ni-Pd-Ta-O,"{""Ni"": 0.10409852739323483, ""Pd"": 0.685310673868292, ""Ta"": 0.2105907987384732}",550,0.595491,0.74363,0.043415,-0.019365,3.088596
4,35,Co-Mn-Mo-O,"{'Mn': 0.22112, 'Co': 0.52452, 'Mo': 0.25437}",550,0.839069,0.740905,0.105966,0.095189,3.088596
4,36,Co-Mn-Nb-O,"{""Co"": 0.2855514538941347, ""Mn"": 0.13342251975662192, ""Nb"": 0.5810260263492434}",400,1.392774,1.432106,0.047015,0.041078,3.088596
4,37,Mn-Pd-Zn-O,"{""Mn"": 0.48966437868125506, ""Pd"": 0.42888968180492804, ""Zn"": 0.08144593951381679}",550,0.566456,0.609758,0.10102,0.230775,3.088596
4,38,Co-Nb-Zr-O,"{""Co"": 0.33412948471187787, ""Nb"": 0.5053194343848834, ""Zr"": 0.16055108090323886}",550,1.11944,1.268756,0.013947,0.00311,3.088596
4,39,In-Mn-Pd-O,"{""In"": 0.32896188337225674, ""Mn"": 0.26423614068875634, ""Pd"": 0.40680197593898687}",0,0.632415,0.694238,0.210536,0.144329,3.088596
4,40,In-Mn-Pd-O,"{""In"": 0.03713790635536924, ""Mn"": 0.015349167470548382, ""Pd"": 0.9475129261740823}",550,0.652571,0.554892,0.045799,-0.046614,3.091034
4,41,Ni-Pd-Ta-O,"{""Ni"": 0.031209369965014742, ""Pd"": 0.7817180816866676, ""Ta"": 0.1870725483483176}",550,0.603,0.536471,0.009328,-0.002859,3.091034
4,42,Co-Mo-Pd-O,"{""Co"": 0.10280266056885054, ""Mo"": 0.07772473929575842, ""Pd"": 0.8194726001353911}",550,0.684502,0.663628,0.022617,0.053745,3.091034
4,43,Ni-Pd-Ta-O,"{""Ni"": 0.026333215251755263, ""Pd"": 0.9383426092654501, ""Ta"": 0.0353241754827947}",0,0.615402,0.468703,0.183315,0.33622,3.32192
4,44,Ni-Pd-Ta-O,"{""Ni"": 0.01962003640423475, ""Pd"": 0.9582928282507238, ""Ta"": 0.022087135345041434}",0,0.556384,0.467209,0.269819,0.364779,3.33069
4,45,Mn-Pd-Zn-O,"{""Mn"": 0.01785209824110034, ""Pd"": 0.9522700654484872, ""Zn"": 0.029877836310412426}",0,0.520731,0.466356,0.319401,0.432227,3.335637
4,46,Mn-Ni-Pd-O,"{""Mn"": 0.11736376963788844, ""Ni"": 0.0905246155730535, ""Pd"": 0.792111614789058}",550,0.614734,0.622796,0.066956,-0.009966,3.335637
4,47,Co-Ni-Pd-O,"{""Co"": 0.041183577795834786, ""Ni"": 0.0033916257973575104, ""Pd"": 0.9554247964068077}",0,0.638147,0.456618,0.360078,0.543545,3.391038
4,48,Co-Ni-Pd-O,"{""Co"": 0.04285241184796641, ""Ni"": 0.003501292065647473, ""Pd"": 0.9536462960863862}",0,0.504573,0.467155,0.483469,0.459791,3.391038
4,49,Co-Ni-Pd-O,"{""Co"": 0.37735375415429767, ""Ni"": 0.012667400098152743, ""Pd"": 0.6099788457475495}",0,0.580179,0.567922,0.353095,0.347821,3.391038
4,50,Co-Ni-Pd-O,"{""Co"": 0.333282453406405, ""Ni"": 0.1772458899500927, ""Pd"": 0.4894716566435023}",0,0.691917,0.668617,0.323948,0.144135,3.391038
5,1,Co-In-Si-O,"{""Co"": 0.4169115551184158, ""In"": 0.5830884448815842}",0,4.047665,1.107384,0.009326,0.113286,1.74329
5,2,Fe-Sb-W-O,"{""Fe"": 0.053281706630836645, ""Sb"": 0.0030477721923588526, ""W"": 0.9436705211768045}",550,1.896719,1.027596,0.064664,-0.024967,1.74329
5,3,Bi-Ni-Zr-O,"{""Bi"": 0.799487266475573, ""Ni"": 0.16984006981189786, ""Zr"": 0.030672663712529222}",550,2.045901,1.718231,0.016657,0.026602,1.74329
5,4,Mn-Nb-Sb-O,"{""Mn"": 0.4571303249755999, ""Nb"": 0.5372933543813965, ""Sb"": 0.005576320643003576}",550,2.34512,1.079744,0.012601,0.100406,1.74329
5,5,Co-Nb-Sn-O,"{'Co': 0.477187604600918, 'Nb': 0.3282476046265705, 'Sn': 0.1945647907725116}",550,2.279307,0.839877,0.043291,0.04253,1.74329
5,6,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",550,1.802766,2.687193,0.008072,0.022534,1.74329
5,7,Ag-Nb-Ni-O,"{""Ag"": 0.3394320950591408, ""Nb"": 0.5338607924508958, ""Ni"": 0.12670711248996333}",0,2.371048,0.955376,0.030972,0.609831,1.74329
5,8,Fe-In-Ni-O,"{""Fe"": 0.25174255451010236, ""In"": 0.5751397247339671, ""Ni"": 0.17311772075593046}",600,1.428366,0.975379,0.047709,0.361937,1.74329
5,9,Co-Nb-Zr-O,"{""Co"": 0.10301977022789781, ""Nb"": 0.5230315239269847, ""Zr"": 0.3739487058451175}",550,1.462259,1.107378,0.033094,0.003703,1.74329
5,10,Ag-Ni-Sb-O,"{'Sb': 0.01763, 'Ni': 0.17502, 'Ag': 0.80735}",0,1.297088,0.934167,0.504548,1.277797,1.74329
5,11,Co-Nb-Zr-O,"{""Co"": 0.41243857811462126, ""Nb"": 0.4920114181691707, ""Zr"": 0.09555000371620806}",550,1.353831,1.323499,0.028354,0.039128,1.74329
5,12,Ag-Nb-Ni-O,"{""Ag"": 0.273455113443174, ""Nb"": 0.49978854071497336, ""Ni"": 0.2267563458418527}",550,1.318667,0.905862,0.397467,0.069315,1.74329
5,13,Ag-Ni-Sb-O,"{'Sb': 0.00371, 'Ag': 0.82426, 'Ni': 0.17203}",550,1.10106,5.478394,0.697421,1.011823,1.74329
5,14,Co-Ni-Ta-O,"{""Co"": 0.28278907660766045, ""Ni"": 0.18636657971063122, ""Ta"": 0.5308443436817083}",550,1.603126,1.199792,0.067134,0.011212,1.74329
5,15,Ag-Ge-Hf-O,"{""Ag"": 0.6218692917723816, ""Ge"": 0.05599896189079298, ""Hf"": 0.3221317463368255}",550,1.546255,0.945889,0.741668,0.168912,1.74329
5,16,Ag-Ni-Sb-O,"{'Sb': 0.17192, 'Ag': 0.69199, 'Ni': 0.13609}",550,1.429722,0.824497,0.629977,0.723443,1.74329
5,17,Ag-Nb-Ni-O,"{""Ag"": 0.4621743289756456, ""Nb"": 0.35209503315839924, ""Ni"": 0.18573063786595523}",550,1.437515,0.870136,0.459472,0.079023,1.74329
5,18,Fe-Sb-W-O,"{""Fe"": 0.9958087045859073, ""Sb"": 0.004191295414092707, ""W"": 0.0}",550,1.221201,0.778501,0.279126,0.035361,1.74329
5,19,Ag-Ge-Hf-O,"{""Ag"": 0.7546291106754801, ""Ge"": 0.13617922887854522, ""Hf"": 0.10919166044597475}",550,1.303041,1.023496,0.73577,0.373846,1.74329
5,20,Ag-Pb-W-O,"{'Ag': 0.78432, 'Pb': 0.11024, 'W': 0.10545}",0,1.376272,0.755063,0.785348,5.028603,1.74329
5,21,Co-Nb-Sn-O,"{'Co': 0.2988844603210729, 'Nb': 0.5262393703499926, 'Sn': 0.17487616932893457}",550,1.673332,0.931565,0.033123,0.017941,1.74329
5,22,Ag-Nb-Ni-O,"{""Ag"": 0.8118962085566067, ""Nb"": 0.0, ""Ni"": 0.18810379144339326}",550,1.546832,1.140515,0.964512,0.977292,1.74329
5,23,Co-Nb-Sn-O,"{'Co': 0.3060887525075652, 'Nb': 0.5263746929651044, 'Sn': 0.16753655452733046}",550,1.224191,0.859638,0.022282,-0.026468,1.74329
5,24,Ag-Ge-Hf-O,"{""Ag"": 0.9135792875203606, ""Ge"": 0.028466639622211826, ""Hf"": 0.057954072857427645}",550,3.417735,1.322053,0.817622,0.814358,1.74329
5,25,Ag-Ge-Hf-O,"{""Ag"": 0.89728148964178, ""Ge"": 0.036587121797811685, ""Hf"": 0.06613138856040833}",550,2.304888,1.00083,0.805649,0.669601,1.74329
5,26,Ag-Nb-Ni-O,"{""Ag"": 0.8623499636577189, ""Nb"": 0.04172184056655632, ""Ni"": 0.09592819577572473}",550,2.177291,1.266063,0.809348,0.971529,1.74329
5,27,Cr-Sb-V-O,"{""Cr"": 0.184539564988142, ""Sb"": 0.03673380920888922, ""V"": 0.7787266258029687}",550,1.158116,0.973956,0.134044,0.285153,1.74329
5,28,Ag-Ni-Sb-O,"{'Sb': 0.0485, 'Ni': 0.02209, 'Ag': 0.92941}",0,2.275219,0.902151,0.956404,1.453498,1.74329
5,29,Ag-Ni-Sb-O,"{'Sb': 0.00747, 'Ni': 0.70937, 'Ag': 0.28317}",0,0.911934,0.934184,0.324648,0.972372,1.74329
5,30,Mn-Ni-Pd-O,"{""Mn"": 0.04260347552650108, ""Ni"": 0.17298846507715393, ""Pd"": 0.7844080593963451}",550,1.110309,0.606701,0.098557,0.057486,2.455901
5,31,Ag-Ni-Sb-O,"{'Sb': 0.00196, 'Ni': 0.01627, 'Ag': 0.98177}",0,1.521141,0.846983,1.086546,4.066752,2.455901
5,32,Ag-Ni-Sb-O,"{'Sb': 0.14028, 'Ag': 0.82375, 'Ni': 0.03597}",550,1.870793,0.821058,1.057207,0.524219,2.455901
5,33,Ag-Nb-Ni-O,"{""Ag"": 0.8353126126269546, ""Nb"": 0.0, ""Ni"": 0.16468738737304547}",550,2.922733,1.082448,0.945906,1.055035,2.455901
5,34,Ag-Ni-Sb-O,"{'Sb': 0.01225, 'Ag': 0.84793, 'Ni': 0.13982}",550,1.753459,0.789311,0.981756,1.329646,2.455901
5,35,Ni-Sb-W-O,"{""Ni"": 0.21102107389977598, ""Sb"": 0.014860006377064854, ""W"": 0.7741189197231593}",550,1.388826,0.89509,0.228281,1.709591,2.455901
5,36,Ni-Sb-W-O,"{""Ni"": 0.02229864173969836, ""Sb"": 0.004264699747322376, ""W"": 0.9734366585129793}",0,1.237616,6.107923,0.673134,1.77927,2.455901
5,37,Fe-Sb-W-O,"{""Fe"": 0.04670296948646836, ""Sb"": 0.0011347993137872654, ""W"": 0.9521622311997443}",550,1.873851,1.042849,0.26819,0.027377,2.455901
5,38,Ag-Ni-Sb-O,"{'Sb': 0.00968, 'Ag': 0.83211, 'Ni': 0.1582}",550,1.963887,0.870311,1.170133,1.278131,2.455901
5,39,Ni-Sb-W-O,"{""Ni"": 0.05456435312413224, ""Sb"": 0.004362137009009926, ""W"": 0.9410735098668578}",550,1.706484,10.701909,0.820543,-0.090782,2.455901
5,40,Fe-Sb-W-O,"{'Sb': 0.01031, 'W': 0.89228, 'Fe': 0.09741}",0,3.459222,0.933529,1.363385,1.836288,2.455901
5,41,Fe-Sb-W-O,"{""Fe"": 0.06414771736933099, ""Sb"": 0.004726713927963198, ""W"": 0.9311255687027058}",550,3.855343,10.664318,0.358343,-0.028342,2.455901
5,42,Co-Mn-W-O,"{'Co': 0.11446811388198876, 'W': 0.8480838079813425, 'Mn': 0.03744807813666874}",550,1.587378,1.186137,0.123684,0.12706,2.455901
5,43,Fe-Sb-W-O,"{""Fe"": 0.039431433685793, ""Sb"": 0.0, ""W"": 0.9605685663142071}",550,1.921877,0.975495,0.133348,0.049258,2.455901
5,44,Fe-Sb-W-O,"{""Fe"": 0.2018083758617847, ""Sb"": 0.007276880436754711, ""W"": 0.7909147437014605}",550,2.166365,10.663462,0.623803,0.00714,2.455901
5,45,Fe-In-Ni-O,"{""Fe"": 0.06745823369144861, ""In"": 0.07867708047489433, ""Ni"": 0.853864685833657}",500,2.078564,0.797549,0.655133,0.689238,2.455901
5,46,Fe-Sb-W-O,"{""Fe"": 0.9870702506373257, ""Sb"": 0.012929749362674322, ""W"": 0.0}",550,2.609443,0.921565,0.727544,0.039151,2.455901
5,47,Fe-Sb-W-O,"{""Fe"": 0.41444122241918646, ""Sb"": 0.011393693975166907, ""W"": 0.5741650836056466}",550,3.926638,1.228793,0.643257,0.008066,2.455901
5,48,Ni-Sb-W-O,"{""Ni"": 0.04448489883087148, ""Sb"": 0.001929402341715319, ""W"": 0.9535856988274132}",0,2.093701,7.795971,0.902298,2.971309,2.455901
5,49,Ni-Sb-W-O,"{""Ni"": 0.18677572652769497, ""Sb"": 0.3300330720595656, ""W"": 0.4831912014127395}",550,2.025049,1.192292,0.991026,0.010524,2.455901
5,50,Fe-Sb-W-O,"{""Fe"": 0.17383705415169207, ""Sb"": 0.003321423399384865, ""W"": 0.8228415224489231}",550,4.683942,0.946772,0.007324,0.091363,2.455901
6,1,Co-In-Si-O,"{""Co"": 0.4169115551184158, ""In"": 0.5830884448815842}",0,3.336545,1.107384,0.006408,0.113286,1.74329
6,2,Fe-Sb-W-O,"{""Fe"": 0.053281706630836645, ""Sb"": 0.0030477721923588526, ""W"": 0.9436705211768045}",550,1.877226,1.027596,0.051701,-0.024967,1.74329
6,3,Bi-Ni-Zr-O,"{""Bi"": 0.799487266475573, ""Ni"": 0.16984006981189786, ""Zr"": 0.030672663712529222}",550,1.908438,1.718231,8.1e-05,0.026602,1.74329
6,4,Mn-Nb-Sb-O,"{""Mn"": 0.4571303249755999, ""Nb"": 0.5372933543813965, ""Sb"": 0.005576320643003576}",550,1.924608,1.079744,0.009034,0.100406,1.74329
6,5,Ni-Pd-Ta-O,"{""Ni"": 0.17250256341319753, ""Pd"": 0.7453462175669912, ""Ta"": 0.08215121901981129}",550,1.752541,0.553072,0.018945,0.029141,2.792671
6,6,Co-Nb-Zr-O,"{""Co"": 0.41243857811462126, ""Nb"": 0.4920114181691707, ""Zr"": 0.09555000371620806}",550,2.093637,1.323499,0.044826,0.039128,2.792671
6,7,Mn-Nb-Sb-O,"{""Mn"": 0.25022871700520277, ""Nb"": 0.5213953354655663, ""Sb"": 0.22837594752923102}",0,1.68744,5.614962,0.079994,-0.034321,2.792671
6,8,Ni-Sb-W-O,"{""Ni"": 0.18677572652769497, ""Sb"": 0.3300330720595656, ""W"": 0.4831912014127395}",550,2.016073,1.192292,0.016602,0.010524,2.792671
6,9,Ag-Nb-Ni-O,"{""Ag"": 0.3394320950591408, ""Nb"": 0.5338607924508958, ""Ni"": 0.12670711248996333}",0,2.724891,0.955376,0.023543,0.609831,2.792671
6,10,Co-Ni-Ta-O,"{""Co"": 0.2990799236512203, ""Ni"": 0.16312754051476866, ""Ta"": 0.537792535834011}",550,1.184789,1.096223,0.033607,0.010095,2.792671
6,11,Mn-Ni-Pd-O,"{""Mn"": 0.04260347552650108, ""Ni"": 0.17298846507715393, ""Pd"": 0.7844080593963451}",550,0.974146,0.606701,0.024651,0.057486,2.792671
6,12,Ag-Nb-Ni-O,"{""Ag"": 0.273455113443174, ""Nb"": 0.49978854071497336, ""Ni"": 0.2267563458418527}",550,1.825267,0.905862,0.373118,0.069315,2.792671
6,13,Cr-Sb-V-O,"{""Cr"": 0.7139128919814501, ""Sb"": 0.15243112696349137, ""V"": 0.1336559810550585}",0,1.536965,0.977019,0.060822,0.115113,2.792671
6,14,Cr-Sb-V-O,"{""Cr"": 0.20118877000302662, ""Sb"": 0.6968439804372832, ""V"": 0.10196724955969018}",550,1.386406,1.019573,0.036064,0.02812,2.792671
6,15,In-Mn-Pd-O,"{""In"": 0.3030841825770378, ""Mn"": 0.23648063450480195, ""Pd"": 0.46043518291816027}",0,0.896526,0.673578,0.080518,0.169004,2.792671
6,16,Mn-Pd-Zn-O,"{""Mn"": 0.19464692904140998, ""Pd"": 0.6827823274826441, ""Zn"": 0.12257074347594592}",550,0.76363,0.563531,0.05014,0.115853,2.792671
6,17,In-Mn-Pd-O,"{""In"": 0.12669507241346578, ""Mn"": 0.2731046362684877, ""Pd"": 0.6002002913180464}",550,0.732878,0.573808,0.095217,0.052957,2.792671
6,18,Co-Nb-Sn-O,"{'Co': 0.2988844603210729, 'Nb': 0.5262393703499926, 'Sn': 0.17487616932893457}",550,1.896348,0.931565,0.025919,0.017941,2.792671
6,19,Nb-Ni-Ta-O,"{""Nb"": 0.5530122160327089, ""Ni"": 0.14038634580272824, ""Ta"": 0.30660143816456287}",550,1.248222,2.382656,0.031233,-0.015189,2.792671
6,20,Cr-Sb-V-O,"{""Cr"": 0.6844141236560437, ""Sb"": 0.22855022066615346, ""V"": 0.08703565567780285}",550,1.138782,0.967025,0.044756,0.275477,2.792671
6,21,In-Mn-Pd-O,"{""In"": 0.07775666649006174, ""Mn"": 0.3066161909085832, ""Pd"": 0.615627142601355}",0,0.646027,0.610855,0.116358,0.190901,2.792671
6,22,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",550,1.471468,2.687193,0.011435,0.022534,2.792671
6,23,Co-Nb-Sn-O,"{'Co': 0.3060887525075652, 'Nb': 0.5263746929651044, 'Sn': 0.16753655452733046}",550,1.373687,0.859638,0.019152,-0.026468,2.792671
6,24,Mn-Nb-Zn-O,"{'Mn': 0.15764805833201176, 'Nb': 0.7334537888496024, 'Zn': 0.10889815281838576}",550,1.946971,0.99196,0.0217,0.011411,2.792671
6,25,In-Mn-Pd-O,"{""In"": 0.11262280234658081, ""Mn"": 0.4597804111391463, ""Pd"": 0.42759678651427285}",550,0.659925,0.558834,0.107096,0.096854,2.792671
6,26,Mn-Nb-Zn-O,"{'Mn': 0.3317121997256974, 'Nb': 0.5737863308979348, 'Zn': 0.09450146937636782}",550,1.644613,0.78934,0.038166,0.031785,2.792671
6,27,Mn-Nb-Sb-O,"{""Mn"": 0.14696990518371408, ""Nb"": 0.728763135189893, ""Sb"": 0.12426695962639288}",550,3.273613,1.82673,0.008131,0.003946,2.792671
6,28,Co-Nb-Zr-O,"{""Co"": 0.33412948471187787, ""Nb"": 0.5053194343848834, ""Zr"": 0.16055108090323886}",550,1.218756,1.268756,0.021567,0.00311,2.792671
6,29,Mn-Nb-Sb-O,"{""Mn"": 0.38359884952345064, ""Nb"": 0.6020287043981303, ""Sb"": 0.014372446078419145}",0,1.386572,1.109141,0.056791,0.062784,2.792671
6,30,Mn-Nb-Sb-O,"{""Mn"": 0.17454512235756198, ""Nb"": 0.6620281062947514, ""Sb"": 0.16342677134768652}",0,2.191748,1.871185,0.015364,0.016952,2.792671
6,31,Mn-Nb-Sb-O,"{""Mn"": 0.3214704374391548, ""Nb"": 0.39959991365129083, ""Sb"": 0.27892964890955435}",0,1.373013,1.125144,0.037123,0.054285,2.792671
6,32,Co-Nb-Zr-O,"{""Co"": 0.10301977022789781, ""Nb"": 0.5230315239269847, ""Zr"": 0.3739487058451175}",550,1.278152,1.107378,0.012246,0.003703,2.792671
6,33,Co-Ni-Pd-O,"{""Co"": 0.21356621605978665, ""Ni"": 0.016690413491795602, ""Pd"": 0.7697433704484178}",550,0.717611,0.815656,0.056075,0.03068,2.792671
6,34,Mn-Nb-Sb-O,"{""Mn"": 0.49668470970132045, ""Nb"": 0.31139274042216775, ""Sb"": 0.19192254987651183}",0,1.164496,1.100516,0.083112,0.01638,2.792671
6,35,Ag-Nb-Ni-O,"{""Ag"": 0.4785188711677248, ""Nb"": 0.48652955381979124, ""Ni"": 0.03495157501248397}",550,1.252744,0.896954,0.400578,0.147469,2.792671
6,36,Ag-Ni-Sb-O,"{'Sb': 0.28804, 'Ag': 0.65912, 'Ni': 0.05284}",550,1.130254,0.810124,0.241784,0.477849,2.792671
6,37,Ag-Ni-Sb-O,"{'Ni': 0.18849, 'Sb': 0.23297, 'Ag': 0.57854}",550,0.978726,0.866715,0.425003,0.592098,2.792671
6,38,Mn-Nb-Zn-O,"{'Mn': 0.2977407977691986, 'Nb': 0.6251715775869627, 'Zn': 0.07708762464383873}",550,1.305018,0.766727,0.036661,0.021394,2.792671
6,39,Mn-Nb-Zn-O,"{'Mn': 0.2428682938375978, 'Nb': 0.6655608198263939, 'Zn': 0.09157088633600843}",550,1.297789,0.822714,0.018657,0.014551,2.792671
6,40,Mn-Nb-Zn-O,"{'Mn': 0.2773973511533338, 'Nb': 0.6532154106717284, 'Zn': 0.06938723817493776}",700,1.153788,0.974248,0.006215,0.031464,2.792671
6,41,Mn-Nb-Sb-O,"{""Mn"": 0.31266373724497803, ""Nb"": 0.3993164417892945, ""Sb"": 0.2880198209657275}",0,1.220855,1.564158,0.041202,0.007434,2.792671
6,42,Ag-Ni-Sb-O,"{'Ni': 0.16774, 'Sb': 0.21112, 'Ag': 0.62114}",550,0.95285,0.872976,0.516319,0.678401,2.792671
6,43,Mn-Pd-Zn-O,"{""Mn"": 0.03153336895039366, ""Pd"": 0.2837045723745261, ""Zn"": 0.6847620586750802}",550,0.658864,0.76509,0.070289,0.842078,2.792671
6,44,Co-Ni-Zr-O,"{""Co"": 0.12053924106414868, ""Ni"": 0.7892418746192802, ""Zr"": 0.09021888431657105}",0,1.000634,0.943945,0.241449,0.765687,2.792671
6,45,Co-Nb-Sn-O,"{'Co': 0.27454386718136153, 'Nb': 0.5495562083960752, 'Sn': 0.17589992442256341}",700,1.157945,0.98162,0.01403,-0.059267,2.792753
6,46,Ni-Pd-Ta-O,"{""Ni"": 0.20213658079295813, ""Pd"": 0.6826394072721103, ""Ta"": 0.11522401193493156}",550,0.671799,0.567981,0.042014,-0.008021,2.799535
6,47,Mn-Nb-Zn-O,"{'Mn': 0.055483628141775335, 'Nb': 0.8384547527660952, 'Zn': 0.10606161909212947}",550,1.235444,1.658126,0.005638,0.006149,2.799535
6,48,Ni-Pd-Ta-O,"{""Ni"": 0.10073667080010576, ""Pd"": 0.45605188139484126, ""Ta"": 0.443211447805053}",550,0.605193,1.39701,0.013509,-0.00629,2.799535
